Movie Name,Movie Code,Open date,Movie Type,Nation,Genre,Directors,companys
셜록홈즈-비밀의 열쇠,20158465,20151119,장편,미국,미스터리,레이첼 골덴버그,NA
화이: 괴물을 삼킨 아이,20123383,20131009,장편,한국,액션,장준환,20100248/나우필름(주)
화이트 하우스 다운,20137815,20130627,장편,미국,액션,롤랜드 에머리히,NA
화차,20124050,20120308,장편,한국,미스터리,변영주,20111355/(주)영화제작소보임
황제를 위하여,20134591,20140611,장편,한국,액션,박상준,20100410/오퍼스픽쳐스
회사원,20113886,20121011,장편,한국,액션,임상윤,20111071/영화사심미안(주)
후궁 : 제왕의 첩,20113533,20120606,장편,한국,사극,김대승,20100584/(주)황기성 사단
흥부: 글로 세상을 바꾼 자,20176121,20180214,장편,한국,사극,조근현,20176364/(주)영화사 궁
히든 피겨스,20167363,20170323,장편,미국,드라마,데오도르 멜피,NA
히말라야,20136068,20151216,장편,한국,드라마,이석훈,20100278/(주)제이케이필름
